timestamp,cash_type,card,money,coffee_name
2024-04-08,card,ANON-0000-0000-0106,38.7,Cappuccino
2024-04-09,cash,CASH,40,Cappuccino
2024-04-09,card,ANON-0000-0000-0107,38.7,Hot Chocolate
2024-04-10,cash,CASH,25,Espresso
2024-04-10,card,ANON-0000-0000-0109,38.7,Latte
2024-04-11,card,ANON-0000-0000-0106,38.7,Cappuccino
2024-04-11,card,ANON-0000-0000-0024,33.8,Americano With Milk
2024-04-12,card,ANON-0000-0000-0019,38.7,Hot Chocolate
2024-04-13,cash,CASH,40,Hot Chocolate
2024-04-13,cash,CASH,40,Hot Chocolate
2024-04-13,card,ANON-0000-0000-0111,38.7,Cappuccino
2024-04-13,card,ANON-0000-0000-0111,38.7,Latte
2024-04-14,card,ANON-0000-0000-0114,28.9,Cortado
2024-04-14,card,ANON-0000-0000-0012,28.9,Americano
2024-04-14,card,ANON-0000-0000-0019,38.7,Latte
2024-04-15,card,ANON-0000-0000-0003,28.9,Americano
2024-04-15,card,ANON-0000-0000-0004,33.8,Americano With Milk
2024-04-16,card,ANON-0000-0000-0118,28.9,Americano
2024-04-16,card,ANON-0000-0000-0050,38.7,Cocoa
2024-04-17,cash,CASH,40,Cappuccino
2024-04-17,card,ANON-0000-0000-0120,38.7,Cappuccino
2024-04-17,card,ANON-0000-0000-0120,38.7,Cappuccino
2024-04-17,card,ANON-0000-0000-0121,28.9,Cortado
2024-04-18,card,ANON-0000-0000-0003,28.9,Americano
2024-04-18,card,ANON-0000-0000-0003,28.9,Americano
2024-04-18,card,ANON-0000-0000-0085,38.7,Cappuccino
2024-04-19,card,ANON-0000-0000-0001,38.7,Latte
2024-04-19,card,ANON-0000-0000-0040,33.8,Americano With Milk
2024-04-19,card,ANON-0000-0000-0040,38.7,Cappuccino
2024-04-19,card,ANON-0000-0000-0024,38.7,Cocoa
2024-04-20,card,ANON-0000-0000-0125,33.8,Americano With Milk
2024-04-20,card,ANON-0000-0000-0125,33.8,Americano With Milk
2024-04-20,card,ANON-0000-0000-0118,28.9,Americano
2024-04-20,card,ANON-0000-0000-0118,33.8,Americano With Milk
2024-04-20,card,ANON-0000-0000-0118,38.7,Hot Chocolate
2024-04-20,card,ANON-0000-0000-0009,33.8,Americano With Milk
2024-04-20,card,ANON-0000-0000-0012,32.82,Americano With Milk
2024-04-20,cash,CASH,39,Cocoa
2024-04-21,card,ANON-0000-0000-0001,37.72,Latte
2024-04-21,card,ANON-0000-0000-0099,27.92,Americano
2024-04-21,cash,CASH,39,Cappuccino
2024-04-22,card,ANON-0000-0000-0012,27.92,Americano
2024-04-22,cash,CASH,39,Cappuccino
2024-04-23,card,ANON-0000-0000-0025,37.72,Cappuccino
2024-04-23,card,ANON-0000-0000-0024,32.82,Americano With Milk
2024-04-24,card,ANON-0000-0000-0001,37.72,Latte
2024-04-24,card,ANON-0000-0000-0131,32.82,Americano With Milk
2024-04-24,card,ANON-0000-0000-0132,32.82,Americano With Milk
2024-04-25,card,ANON-0000-0000-0009,37.72,Latte
2024-04-25,card,ANON-0000-0000-0012,27.92,Americano
2024-04-25,card,ANON-0000-0000-0012,27.92,Americano
2024-04-26,card,ANON-0000-0000-0001,37.72,Latte
2024-04-26,card,ANON-0000-0000-0136,37.72,Latte
2024-04-26,card,ANON-0000-0000-0138,27.92,Cortado
2024-04-29,card,ANON-0000-0000-0134,37.72,Cappuccino
2024-04-29,card,ANON-0000-0000-0134,37.72,Cappuccino
2024-04-30,card,ANON-0000-0000-0142,37.72,Latte
2024-04-30,card,ANON-0000-0000-0142,37.72,Cappuccino
2024-05-02,card,ANON-0000-0000-0145,37.72,Latte
2024-05-02,card,ANON-0000-0000-0145,37.72,Cappuccino
2024-05-03,cash,CASH,39,Latte
2024-05-03,card,ANON-0000-0000-0147,37.72,Latte
2024-05-06,card,ANON-0000-0000-0148,27.92,Americano
2024-05-06,card,ANON-0000-0000-0149,37.72,Cappuccino
2024-05-06,card,ANON-0000-0000-0149,32.82,Americano With Milk
2024-05-06,card,ANON-0000-0000-0150,27.92,Americano
2024-05-06,card,ANON-0000-0000-0148,27.92,Cortado
2024-05-06,card,ANON-0000-0000-0148,27.92,Americano
2024-05-06,card,ANON-0000-0000-0151,37.72,Cappuccino
2024-05-06,card,ANON-0000-0000-0151,37.72,Cappuccino
2024-05-07,card,ANON-0000-0000-0141,27.92,Cortado
2024-05-07,card,ANON-0000-0000-0077,27.92,Cortado
2024-05-07,card,ANON-0000-0000-0154,37.72,Cappuccino
2024-05-07,card,ANON-0000-0000-0154,37.72,Cappuccino
2024-05-08,card,ANON-0000-0000-0001,37.72,Latte
2024-05-09,card,ANON-0000-0000-0156,27.92,Americano
2024-05-09,card,ANON-0000-0000-0156,37.72,Latte
2024-05-09,card,ANON-0000-0000-0156,37.72,Latte
2024-05-09,card,ANON-0000-0000-0156,37.72,Latte
2024-05-09,card,ANON-0000-0000-0157,27.92,Americano
2024-05-09,card,ANON-0000-0000-0143,32.82,Americano With Milk
2024-05-10,cash,CASH,39,Latte
2024-05-10,cash,CASH,34,Americano With Milk
2024-05-11,cash,CASH,39,Latte
2024-05-11,card,ANON-0000-0000-0009,32.82,Americano With Milk
2024-05-11,card,ANON-0000-0000-0026,37.72,Cocoa
2024-05-11,card,ANON-0000-0000-0040,37.72,Cappuccino
2024-05-12,card,ANON-0000-0000-0001,37.72,Latte
2024-05-12,card,ANON-0000-0000-0077,37.72,Latte
2024-05-12,card,ANON-0000-0000-0012,32.82,Americano With Milk
2024-05-13,card,ANON-0000-0000-0164,32.82,Americano With Milk
2024-05-14,card,ANON-0000-0000-0012,37.72,Cappuccino
2024-05-14,card,ANON-0000-0000-0025,37.72,Cappuccino
2024-05-14,card,ANON-0000-0000-0009,32.82,Americano With Milk
2024-05-14,card,ANON-0000-0000-0040,27.92,Americano
2024-05-15,card,ANON-0000-0000-0012,23.02,Espresso
2024-05-15,card,ANON-0000-0000-0012,27.92,Americano
2024-05-15,card,ANON-0000-0000-0171,37.72,Cappuccino
2024-05-16,card,ANON-0000-0000-0173,32.82,Americano With Milk
2024-05-16,card,ANON-0000-0000-0174,37.72,Hot Chocolate
2024-05-16,card,ANON-0000-0000-0175,37.72,Hot Chocolate
2024-05-16,card,ANON-0000-0000-0175,37.72,Latte
2024-05-17,card,ANON-0000-0000-0033,27.92,Americano
2024-05-18,card,ANON-0000-0000-0180,37.72,Cappuccino
2024-05-18,card,ANON-0000-0000-0180,37.72,Cappuccino
2024-05-18,card,ANON-0000-0000-0181,32.82,Americano With Milk
2024-05-18,card,ANON-0000-0000-0009,37.72,Latte
2024-05-18,cash,CASH,39,Cappuccino
2024-05-19,card,ANON-0000-0000-0183,37.72,Cappuccino
2024-05-19,card,ANON-0000-0000-0184,32.82,Americano With Milk
2024-05-19,card,ANON-0000-0000-0186,32.82,Americano With Milk
2024-05-19,card,ANON-0000-0000-0186,23.02,Espresso
2024-05-19,card,ANON-0000-0000-0186,37.72,Hot Chocolate
2024-05-19,card,ANON-0000-0000-0188,37.72,Cappuccino
2024-05-19,card,ANON-0000-0000-0189,37.72,Cappuccino
2024-05-20,card,ANON-0000-0000-0190,32.82,Americano With Milk
2024-05-20,card,ANON-0000-0000-0191,37.72,Latte
2024-05-20,card,ANON-0000-0000-0143,27.92,Americano
2024-05-20,card,ANON-0000-0000-0143,27.92,Americano
2024-05-20,card,ANON-0000-0000-0192,32.82,Americano With Milk
2024-05-20,card,ANON-0000-0000-0192,37.72,Cappuccino
2024-05-20,card,ANON-0000-0000-0120,37.72,Latte
2024-05-20,card,ANON-0000-0000-0193,37.72,Latte
2024-05-21,cash,CASH,39,Latte
2024-05-21,card,ANON-0000-0000-0197,37.72,Latte
2024-05-21,card,ANON-0000-0000-0012,23.02,Espresso
2024-05-21,card,ANON-0000-0000-0198,37.72,Cappuccino
2024-05-21,card,ANON-0000-0000-0199,37.72,Cappuccino
2024-05-22,card,ANON-0000-0000-0141,27.92,Cortado
2024-05-22,card,ANON-0000-0000-0009,32.82,Americano With Milk
2024-05-22,card,ANON-0000-0000-0180,37.72,Hot Chocolate
2024-05-23,card,ANON-0000-0000-0201,37.72,Cappuccino
2024-05-23,card,ANON-0000-0000-0202,23.02,Espresso
2024-05-23,card,ANON-0000-0000-0180,37.72,Cappuccino
2024-05-23,card,ANON-0000-0000-0153,37.72,Cappuccino
2024-05-23,card,ANON-0000-0000-0153,37.72,Latte
2024-05-23,card,ANON-0000-0000-0204,27.92,Cortado
2024-05-23,card,ANON-0000-0000-0134,37.72,Cappuccino
2024-05-23,card,ANON-0000-0000-0205,37.72,Cappuccino
2024-05-23,card,ANON-0000-0000-0207,37.72,Cappuccino
2024-05-23,card,ANON-0000-0000-0207,37.72,Latte
2024-05-24,card,ANON-0000-0000-0141,27.92,Cortado
2024-05-24,card,ANON-0000-0000-0012,27.92,Americano
2024-05-24,card,ANON-0000-0000-0012,27.92,Americano
2024-05-24,card,ANON-0000-0000-0081,37.72,Hot Chocolate
2024-05-24,card,ANON-0000-0000-0209,27.92,Cortado
2024-05-24,card,ANON-0000-0000-0209,27.92,Cortado
2024-05-25,card,ANON-0000-0000-0211,37.72,Latte
2024-05-26,card,ANON-0000-0000-0001,37.72,Latte
2024-05-26,card,ANON-0000-0000-0217,37.72,Cappuccino
2024-05-26,card,ANON-0000-0000-0218,37.72,Hot Chocolate
2024-05-26,card,ANON-0000-0000-0218,37.72,Hot Chocolate
2024-05-26,card,ANON-0000-0000-0218,27.92,Americano
2024-05-26,card,ANON-0000-0000-0220,37.72,Cappuccino
2024-05-26,card,ANON-0000-0000-0221,27.92,Cortado
2024-05-26,card,ANON-0000-0000-0222,37.72,Cappuccino
2024-05-26,card,ANON-0000-0000-0221,37.72,Latte
2024-05-26,card,ANON-0000-0000-0223,37.72,Cappuccino
2024-05-27,card,ANON-0000-0000-0224,32.82,Americano With Milk
2024-05-27,card,ANON-0000-0000-0224,37.72,Cocoa
2024-05-27,card,ANON-0000-0000-0225,27.92,Americano
2024-05-27,card,ANON-0000-0000-0225,27.92,Americano
2024-05-27,card,ANON-0000-0000-0226,27.92,Americano
2024-05-27,card,ANON-0000-0000-0227,37.72,Latte
2024-05-27,card,ANON-0000-0000-0228,37.72,Latte
2024-05-28,card,ANON-0000-0000-0097,32.82,Americano With Milk
2024-05-28,card,ANON-0000-0000-0230,37.72,Cappuccino
2024-05-28,card,ANON-0000-0000-0194,37.72,Cocoa
2024-05-28,cash,CASH,39,Cappuccino
2024-05-28,card,ANON-0000-0000-0231,27.92,Americano
2024-05-28,card,ANON-0000-0000-0231,37.72,Latte
2024-05-29,card,ANON-0000-0000-0232,37.72,Latte
2024-05-29,card,ANON-0000-0000-0233,37.72,Hot Chocolate
2024-05-29,card,ANON-0000-0000-0234,27.92,Americano
2024-05-29,card,ANON-0000-0000-0235,37.72,Latte
2024-05-30,card,ANON-0000-0000-0243,23.02,Espresso
2024-05-30,card,ANON-0000-0000-0012,23.02,Espresso
2024-05-31,card,ANON-0000-0000-0246,37.72,Latte
2024-05-31,cash,CASH,39,Latte
2024-05-31,card,ANON-0000-0000-0250,37.72,Latte
2024-05-31,card,ANON-0000-0000-0180,37.72,Cappuccino
2024-05-31,card,ANON-0000-0000-0206,37.72,Cappuccino
2024-05-31,card,ANON-0000-0000-0206,32.82,Americano With Milk
2024-05-31,card,ANON-0000-0000-0206,27.92,Cortado
2024-06-01,card,ANON-0000-0000-0251,32.82,Americano With Milk
2024-06-01,card,ANON-0000-0000-0251,32.82,Americano With Milk
2024-06-02,card,ANON-0000-0000-0009,37.72,Latte
2024-06-02,card,ANON-0000-0000-0097,32.82,Americano With Milk
2024-06-03,card,ANON-0000-0000-0001,37.72,Latte
2024-06-04,card,ANON-0000-0000-0141,27.92,Cortado
2024-06-04,card,ANON-0000-0000-0254,37.72,Latte
2024-06-04,card,ANON-0000-0000-0254,37.72,Hot Chocolate
2024-06-04,card,ANON-0000-0000-0256,37.72,Hot Chocolate
2024-06-05,card,ANON-0000-0000-0261,37.72,Cappuccino
2024-06-05,card,ANON-0000-0000-0261,37.72,Cappuccino
2024-06-05,card,ANON-0000-0000-0262,27.92,Americano
2024-06-05,card,ANON-0000-0000-0220,37.72,Cocoa
2024-06-05,card,ANON-0000-0000-0220,27.92,Cortado
2024-06-06,card,ANON-0000-0000-0265,27.92,Americano
2024-06-06,card,ANON-0000-0000-0224,32.82,Americano With Milk
2024-06-06,card,ANON-0000-0000-0267,37.72,Latte
2024-06-06,card,ANON-0000-0000-0267,37.72,Latte
2024-06-06,card,ANON-0000-0000-0206,37.72,Cappuccino
2024-06-06,card,ANON-0000-0000-0206,32.82,Americano With Milk
2024-06-06,card,ANON-0000-0000-0267,37.72,Latte
2024-06-07,card,ANON-0000-0000-0268,37.72,Cappuccino
2024-06-08,card,ANON-0000-0000-0271,27.92,Cortado
2024-06-09,card,ANON-0000-0000-0097,37.72,Latte
2024-06-09,card,ANON-0000-0000-0141,27.92,Cortado
2024-06-09,card,ANON-0000-0000-0274,23.02,Espresso
2024-06-09,card,ANON-0000-0000-0276,32.82,Americano With Milk
2024-06-09,card,ANON-0000-0000-0276,37.72,Latte
2024-06-09,card,ANON-0000-0000-0276,37.72,Latte
2024-06-09,card,ANON-0000-0000-0277,27.92,Cortado
2024-06-09,card,ANON-0000-0000-0278,37.72,Cappuccino
2024-06-09,card,ANON-0000-0000-0279,32.82,Americano With Milk
2024-06-09,card,ANON-0000-0000-0280,27.92,Americano
2024-06-10,card,ANON-0000-0000-0282,37.72,Hot Chocolate
2024-06-10,card,ANON-0000-0000-0282,37.72,Hot Chocolate
2024-06-11,card,ANON-0000-0000-0286,37.72,Hot Chocolate
2024-06-12,card,ANON-0000-0000-0288,37.72,Hot Chocolate
2024-06-12,card,ANON-0000-0000-0256,37.72,Hot Chocolate
2024-06-13,card,ANON-0000-0000-0294,32.82,Americano With Milk
2024-06-13,card,ANON-0000-0000-0296,37.72,Latte
2024-06-13,card,ANON-0000-0000-0012,32.82,Americano With Milk
2024-06-13,card,ANON-0000-0000-0009,32.82,Americano With Milk
2024-06-14,card,ANON-0000-0000-0097,37.72,Latte
2024-06-15,card,ANON-0000-0000-0300,37.72,Latte
2024-06-15,card,ANON-0000-0000-0300,32.82,Americano With Milk
2024-06-15,card,ANON-0000-0000-0300,23.02,Espresso
2024-06-15,card,ANON-0000-0000-0301,32.82,Americano With Milk
2024-06-15,card,ANON-0000-0000-0302,27.92,Americano
2024-06-16,card,ANON-0000-0000-0303,37.72,Hot Chocolate
2024-06-16,card,ANON-0000-0000-0303,37.72,Hot Chocolate
2024-06-16,card,ANON-0000-0000-0274,23.02,Espresso
2024-06-16,card,ANON-0000-0000-0304,32.82,Americano With Milk
2024-06-16,card,ANON-0000-0000-0304,32.82,Americano With Milk
2024-06-17,card,ANON-0000-0000-0308,27.92,Cortado
2024-06-17,card,ANON-0000-0000-0308,27.92,Cortado
2024-06-17,card,ANON-0000-0000-0009,32.82,Americano With Milk
2024-06-18,card,ANON-0000-0000-0299,27.92,Americano
2024-06-18,card,ANON-0000-0000-0299,37.72,Cappuccino
2024-06-18,card,ANON-0000-0000-0154,37.72,Cappuccino
2024-06-18,card,ANON-0000-0000-0154,37.72,Cappuccino
2024-06-18,card,ANON-0000-0000-0012,32.82,Americano With Milk
2024-06-18,card,ANON-0000-0000-0012,32.82,Americano With Milk
2024-06-19,card,ANON-0000-0000-0141,27.92,Cortado
2024-06-19,card,ANON-0000-0000-0313,37.72,Latte
2024-06-19,card,ANON-0000-0000-0313,37.72,Cocoa
2024-06-19,card,ANON-0000-0000-0164,32.82,Americano With Milk
2024-06-20,card,ANON-0000-0000-0314,37.72,Latte
2024-06-21,card,ANON-0000-0000-0315,27.92,Americano
2024-06-21,card,ANON-0000-0000-0012,32.82,Americano With Milk
2024-06-21,card,ANON-0000-0000-0012,32.82,Americano With Milk
2024-06-21,card,ANON-0000-0000-0316,23.02,Espresso
2024-06-22,card,ANON-0000-0000-0318,37.72,Cappuccino
2024-06-23,card,ANON-0000-0000-0012,32.82,Americano With Milk
2024-06-23,card,ANON-0000-0000-0012,32.82,Americano With Milk
2024-06-23,card,ANON-0000-0000-0319,37.72,Cappuccino
2024-06-24,card,ANON-0000-0000-0321,37.72,Latte
2024-06-25,card,ANON-0000-0000-0322,37.72,Latte
2024-06-26,card,ANON-0000-0000-0009,37.72,Latte
2024-06-27,card,ANON-0000-0000-0326,32.82,Americano With Milk
2024-06-27,card,ANON-0000-0000-0327,27.92,Cortado
2024-06-28,card,ANON-0000-0000-0141,27.92,Cortado
2024-06-29,card,ANON-0000-0000-0335,37.72,Cappuccino
2024-06-30,card,ANON-0000-0000-0337,23.02,Espresso
2024-06-30,card,ANON-0000-0000-0097,32.82,Americano With Milk
2024-07-01,card,ANON-0000-0000-0012,23.02,Espresso
2024-07-02,card,ANON-0000-0000-0340,27.92,Americano
2024-07-02,card,ANON-0000-0000-0329,32.82,Americano With Milk
2024-07-03,card,ANON-0000-0000-0342,37.72,Cappuccino
2024-07-03,card,ANON-0000-0000-0009,37.72,Latte
2024-07-05,card,ANON-0000-0000-0058,37.72,Cocoa
2024-07-05,card,ANON-0000-0000-0349,23.02,Espresso
2024-07-05,card,ANON-0000-0000-0350,27.92,Americano
2024-07-05,card,ANON-0000-0000-0350,27.92,Americano
2024-07-05,card,ANON-0000-0000-0351,37.72,Cappuccino
2024-07-05,card,ANON-0000-0000-0351,32.82,Americano With Milk
2024-07-06,card,ANON-0000-0000-0009,32.82,Latte
2024-07-06,card,ANON-0000-0000-0009,32.82,Latte
2024-07-06,card,ANON-0000-0000-0012,32.82,Latte
2024-07-06,card,ANON-0000-0000-0012,27.92,Americano With Milk
2024-07-07,card,ANON-0000-0000-0303,32.82,Cappuccino
2024-07-07,card,ANON-0000-0000-0353,27.92,Americano With Milk
2024-07-07,card,ANON-0000-0000-0353,27.92,Americano With Milk
2024-07-07,card,ANON-0000-0000-0356,32.82,Latte
2024-07-07,card,ANON-0000-0000-0358,32.82,Hot Chocolate
2024-07-08,card,ANON-0000-0000-0361,23.02,Americano
2024-07-08,card,ANON-0000-0000-0019,32.82,Latte
2024-07-09,card,ANON-0000-0000-0194,27.92,Americano With Milk
2024-07-09,card,ANON-0000-0000-0194,32.82,Cappuccino
2024-07-10,card,ANON-0000-0000-0365,23.02,Americano
2024-07-10,card,ANON-0000-0000-0328,32.82,Latte
2024-07-11,card,ANON-0000-0000-0369,32.82,Latte
2024-07-12,card,ANON-0000-0000-0371,23.02,Cortado
2024-07-14,card,ANON-0000-0000-0375,23.02,Americano
2024-07-16,card,ANON-0000-0000-0378,27.92,Americano With Milk
2024-07-17,card,ANON-0000-0000-0379,27.92,Americano With Milk
2024-07-18,card,ANON-0000-0000-0380,27.92,Americano With Milk
2024-07-18,card,ANON-0000-0000-0381,18.12,Espresso
2024-07-18,card,ANON-0000-0000-0375,32.82,Latte
2024-07-18,card,ANON-0000-0000-0382,32.82,Cappuccino
2024-07-18,card,ANON-0000-0000-0383,32.82,Hot Chocolate
2024-07-18,card,ANON-0000-0000-0383,32.82,Latte
2024-07-19,card,ANON-0000-0000-0375,23.02,Americano
2024-07-19,card,ANON-0000-0000-0385,27.92,Americano With Milk
2024-07-19,card,ANON-0000-0000-0384,32.82,Latte
2024-07-19,card,ANON-0000-0000-0384,32.82,Cocoa
2024-07-20,card,ANON-0000-0000-0387,23.02,Americano
2024-07-20,card,ANON-0000-0000-0387,32.82,Latte
2024-07-20,card,ANON-0000-0000-0387,23.02,Americano
2024-07-20,card,ANON-0000-0000-0388,32.82,Latte
2024-07-20,card,ANON-0000-0000-0389,32.82,Latte
2024-07-20,card,ANON-0000-0000-0391,32.82,Latte
2024-07-22,card,ANON-0000-0000-0375,23.02,Americano
2024-07-22,card,ANON-0000-0000-0385,27.92,Americano With Milk
2024-07-23,card,ANON-0000-0000-0197,32.82,Latte
2024-07-23,card,ANON-0000-0000-0375,23.02,Americano
2024-07-23,card,ANON-0000-0000-0400,27.92,Americano With Milk
2024-07-23,card,ANON-0000-0000-0401,27.92,Americano With Milk
2024-07-23,card,ANON-0000-0000-0401,32.82,Latte
2024-07-23,card,ANON-0000-0000-0009,32.82,Latte
2024-07-23,card,ANON-0000-0000-0012,23.02,Americano
2024-07-24,card,ANON-0000-0000-0097,27.92,Americano With Milk
2024-07-24,card,ANON-0000-0000-0009,32.82,Latte
2024-07-24,card,ANON-0000-0000-0205,32.82,Cappuccino
2024-07-24,card,ANON-0000-0000-0205,32.82,Cappuccino
2024-07-24,card,ANON-0000-0000-0040,27.92,Americano With Milk
2024-07-24,card,ANON-0000-0000-0040,23.02,Americano
2024-07-25,card,ANON-0000-0000-0257,32.82,Cappuccino
2024-07-25,card,ANON-0000-0000-0404,23.02,Cortado
2024-07-25,card,ANON-0000-0000-0404,18.12,Espresso
2024-07-26,card,ANON-0000-0000-0097,27.92,Americano With Milk
2024-07-26,card,ANON-0000-0000-0059,18.12,Espresso
2024-07-26,card,ANON-0000-0000-0408,32.82,Latte
2024-07-26,card,ANON-0000-0000-0379,27.92,Americano With Milk
2024-07-26,card,ANON-0000-0000-0409,32.82,Latte
2024-07-26,card,ANON-0000-0000-0410,23.02,Americano
2024-07-26,card,ANON-0000-0000-0009,32.82,Latte
2024-07-27,card,ANON-0000-0000-0097,32.82,Cappuccino
2024-07-27,card,ANON-0000-0000-0414,32.82,Cappuccino
